timestamp,sensor,target,socket,cpu,RAPL_ENERGY_PKG,time_enabled,time_running
1692823245620,sensor,all,0,21,330527932416,183567119547,183567119547
1692823245620,sensor,all,1,38,233311567872,183567114140,183567114140
1692823246623,sensor,all,0,21,335570272256,184570250364,184570250364
1692823246623,sensor,all,1,38,238804008960,184570246607,184570246607
1692823247626,sensor,all,0,21,372637696000,185573136725,185573136725
1692823247626,sensor,all,1,38,320568819712,185573133214,185573133214
1692823248630,sensor,all,0,21,425064923136,186576845724,186576845724
1692823248630,sensor,all,1,38,292314939392,186576843979,186576843979
1692823249633,sensor,all,0,21,398065139712,187581033777,187581033777
1692823249633,sensor,all,1,38,288808239104,187581030972,187581030972
1692823250637,sensor,all,0,21,425472294912,188583708877,188583708877
1692823250637,sensor,all,1,38,291631529984,188583706089,188583706089
1692823251640,sensor,all,0,21,343894654976,189588309747,189588309747
1692823251640,sensor,all,1,38,290015674368,189588315138,189588315138
1692823252643,sensor,all,0,21,364237553664,190590331051,190590331051
1692823252643,sensor,all,1,38,261417336832,190590330427,190590330427
1692823253647,sensor,all,0,21,371880624128,191593818947,191593818947
1692823253647,sensor,all,1,38,268461670400,191593816353,191593816353
1692823254650,sensor,all,0,21,372146176000,192598579007,192598579007
1692823254650,sensor,all,1,38,282951155712,192598583043,192598583043
1692823255654,sensor,all,0,21,359456833536,193601847109,193601847109
1692823255654,sensor,all,1,38,306101878784,193601843085,193601843085
1692823256657,sensor,all,0,21,397451984896,194604884577,194604884577
1692823256657,sensor,all,1,38,308959510528,194604882109,194604882109
1692823257660,sensor,all,0,21,369552523264,195606189699,195606189699
1692823257660,sensor,all,1,38,308551090176,195606181036,195606181036
1692823258662,sensor,all,0,21,365058588672,196610369363,196610369363
1692823258662,sensor,all,1,38,309644230656,196610368701,196610368701
1692823259666,sensor,all,0,21,475957297152,197613015783,197613015783
1692823259666,sensor,all,1,38,325303926784,197613013667,197613013667
1692823260669,sensor,all,0,21,436979892224,198616642217,198616642217
1692823260669,sensor,all,1,38,322253094912,198616644844,198616644844
1692823261671,sensor,all,0,21,325372084224,199618171047,199618171047
1692823261671,sensor,all,1,38,283201503232,199618169397,199618169397
1692823262674,sensor,all,0,21,274553110528,200621583095,200621583095
1692823262674,sensor,all,1,38,244883652608,200621580051,200621580051
1692823263678,sensor,all,0,21,343692541952,201625144920,201625144920
1692823263678,sensor,all,1,38,238723530752,201625141351,201625141351
1692823264682,sensor,all,0,21,285107814400,202629310031,202629310031
1692823264682,sensor,all,1,38,226096054272,202629309064,202629309064
1692823265685,sensor,all,0,21,272573661184,203632399242,203632399242
1692823265685,sensor,all,1,38,209209262080,203632396567,203632396567
1692823266689,sensor,all,0,21,306633768960,204636485988,204636485988
1692823266689,sensor,all,1,38,222415552512,204636482328,204636482328
1692823267693,sensor,all,0,21,342444474368,205640333178,205640333178
1692823267693,sensor,all,1,38,234928209920,205640331304,205640331304
1692823268697,sensor,all,0,21,330692820992,206644013528,206644013528
1692823268697,sensor,all,1,38,247571152896,206644011742,206644011742
1692823269701,sensor,all,0,21,393342877696,207648454422,207648454422
1692823269701,sensor,all,1,38,272129064960,207648452994,207648452994
1692823270704,sensor,all,0,21,345364234240,208651213919,208651213919
1692823270704,sensor,all,1,38,282022379520,208651206778,208651206778
1692823271708,sensor,all,0,21,344887132160,209655698827,209655698827
1692823271708,sensor,all,1,38,256296091648,209655695084,209655695084
1692823272712,sensor,all,0,21,371808010240,210658947030,210658947030
1692823272712,sensor,all,1,38,265485549568,210658940415,210658940415
1692823273716,sensor,all,0,21,347185348608,211663189840,211663189840
1692823273716,sensor,all,1,38,259086352384,211663187824,211663187824
1692823274720,sensor,all,0,21,347853815808,212667585858,212667585858
1692823274720,sensor,all,1,38,270391836672,212667586002,212667586002
1692823275724,sensor,all,0,21,353116618752,213671992533,213671992533
1692823275724,sensor,all,1,38,282921795584,213671989848,213671989848
1692823276729,sensor,all,0,21,417482932224,214675373620,214675373620
1692823276729,sensor,all,1,38,278892904448,214675368357,214675368357
1692823277732,sensor,all,0,21,357263736832,215682535658,215682535658
1692823277732,sensor,all,1,38,276806762496,215682530610,215682530610
1692823278736,sensor,all,0,21,332726534144,216683012628,216683012628
1692823278736,sensor,all,1,38,261459804160,216683053078,216683053078
1692823279740,sensor,all,0,21,273306877952,217687543878,217687543878
1692823279740,sensor,all,1,38,231836483584,217687585908,217687585908
1692823280744,sensor,all,0,21,315127234560,218690567750,218690567750
1692823280744,sensor,all,1,38,221516922880,218690563337,218690563337
1692823281747,sensor,all,0,21,315376795648,219694448308,219694448308
1692823281747,sensor,all,1,38,223050989568,219694454938,219694454938
